tran_id,trans_time,total_amount,nin,nout,vout_weights
cc3f47a8be5c7493a2d156f1ef0d8103d39897bfd745b8ff50b5efecdcb28bc2,1486773571,374,2,2,0.7500455840203688
df6f17a1a3b1213df59cd5aa7e067e706c1039e5a4641f1371c3110d59c5fb72,1486841154,487,3,1,1.0
edb71b638171ea837d00e0689988b9bc7e6eb4ef6134301f76c4e474b52698af,1487842099,192,1,1,1.0
c3c256c8e179de0a2ee9a3d70eca34e2b5f84fd01525ba80b221f3ab90b6cfd0,1489902832,339,2,1,1.0
5a7516dbcefd5967de6e0aa49645046bba785758fe2b309f0c7ec9bfbcb0b9de,1459969252,225,1,2,0.8774184944025087
0c4daeebbac22e09118467a9b5fc0f31aec12a8c6a6b9528b63227139e94260c,1459976586,372,2,2,0.7956370722071889
524c37d345efc23cacd0e336dba4a9d41c8521e2af4994d62d534ddec9f91908,1460015019,192,1,1,1.0
b33eeb2fcdc945fa0dc6304aa698c84afc532a4244c50554700f0945e578bb88,1460115987,1700,11,2,0.5130329428344502
e4c68d489b2e636e88b01edc9b075ce56e6c6104e0baa49461fe13e4e16168e4,1463823319,520,3,2,0.9814566991047522
2da298ad66c422083fcc0ec8260abeff9e40f599ead08e9e44cb2ff818d50f9e,1480678938,225,1,2,0.9210035254413208
d2b51575a216836872a6385730d90e007dd7a87751e031d681239ebd5b50899d,1481180657,223,1,2,0.9741061077484868
f49edb5b6a132edfa7ba62f9b0ad5432f7b67e7929b0dd30415c6fa99aaa4879,1481366295,224,1,2,0.9719368579303433
c9d98ae90bd29afbf93403c146bc82e7dac00a337c7cb546d4e9ce338a4e914c,1462016079,520,3,2,0.59871793263351
637f93495d6741389a6d0531e407b16f27facfc853cd366883112e9a34f371e9,1467955509,226,1,2,0.6678562221932524
42dff044efd6e36d176b5d59250fb30402d7892e12f7dd7f86df8ff13f553bb6,1479294914,225,1,2,0.940040573364102
f323d6283191e340d1cc292c8214b27f8e0a1fcb5d34bf841bfec6cc935cd0af,1481967171,337,2,1,1.0
7543326fefe5388d8560ba3de2c78e36290ab9ab533b2956db9ace28fee61556,1496286902,191,1,1,1.0
eaec06125611e887234fee053340a20a0391cb539f213bcee51f1e13faa58340,1492441114,223,1,2,0.9285101993142323
07c09b262567527fa75b4bbbf47b91aff83e8758a808f6330aa7cf06ca8bde4f,1496328307,226,1,2,0.6678826589580018
343250d66b538ed7c9648ae8f6ba9d74410c7acd3f8cd4fc4e1d69006a2bb37e,1481460062,224,1,2,0.6315762455131658
ba8b1c5f1aa14a41f5164d77747474cc17e68e61b7b0bde740bc8fae8c699c5f,1482337580,224,1,2,0.6589406004490834
bbba6222eeb060831d6e46680b571521fc535c8396d5e2db4d6955abce938aca,1484769728,223,1,2,0.6790713519971412
677db843c68fdd52765346b8b9120870a84f852ffba856367476fae0a7f18573,1487402108,223,1,2,0.6956495035862489
5377942bc8dc361509991de32cb6a3a4622a1930a48c78ef1d5e70cd5240f268,1488102026,224,1,2,0.7241705395730504
60e3f619679c714c5eccbd3d5241db513651d1f695e3f814949c5049e5ea83f8,1488550923,224,1,2,0.663377476902707
954a380ccade25f1426a0dfa24687a75bd7714cf41e3f7588a49ac693526fa5a,1493441227,223,1,2,0.726872093922814
37b604ff841e344d181d7d6bbe24caee599d6c5b3fab0607616397afebf3d0a8,1494132806,224,1,2,0.7625461658340805
0a07219e7e65269fb8ddf62f9e3720581fe1a6c1820dd5e58e9352ea1bbf0d06,1494338459,226,1,2,0.9673480021094858
79a560cd164a0927bcde8291b9cba5b20a863cbdea2e4c9feb6141a210d77530,1505826667,373,2,2,0.6676927179616376
