trans_time,total_amount,nin,nout,vout_weights
1486773571,374,2,2,0.7500455840203688
1486841154,487,3,1,1.0
1487842099,192,1,1,1.0
1489902832,339,2,1,1.0
1459969252,225,1,2,0.8774184944025087
1459976586,372,2,2,0.7956370722071889
1460015019,192,1,1,1.0
1460115987,1700,11,2,0.5130329428344502
1463823319,520,3,2,0.9814566991047522
1480678938,225,1,2,0.9210035254413208
1481180657,223,1,2,0.9741061077484868
1481366295,224,1,2,0.9719368579303433
1462016079,520,3,2,0.59871793263351
1467955509,226,1,2,0.6678562221932524
1479294914,225,1,2,0.940040573364102
1481967171,337,2,1,1.0
1496286902,191,1,1,1.0
1492441114,223,1,2,0.9285101993142323
1496328307,226,1,2,0.6678826589580018
1481460062,224,1,2,0.6315762455131658
1482337580,224,1,2,0.6589406004490834
1484769728,223,1,2,0.6790713519971412
1487402108,223,1,2,0.6956495035862489
1488102026,224,1,2,0.7241705395730504
1488550923,224,1,2,0.663377476902707
1493441227,223,1,2,0.726872093922814
1494132806,224,1,2,0.7625461658340805
1494338459,226,1,2,0.9673480021094858
1505826667,373,2,2,0.6676927179616376
1486469628,226,1,2,0.7000093334577794
1488905724,224,1,2,0.9691133552304592
1492536532,226,1,2,0.666758079199325
1493104311,224,1,2,0.9721307756991325
1487326221,226,1,2,0.7777749876192889
1488279290,224,1,2,0.910607979114556
1489075466,223,1,2,0.911026311388104
1489404286,224,1,2,0.931351636629319
1490614992,374,2,2,0.7500875352153596
1490683424,226,1,2,0.9984346169280994
1490687749,223,1,2,0.905879709765679
1490968805,374,2,2,0.9993191638536666
1491126404,373,2,2,0.9933054194644356
1477042002,225,1,2,0.9967301251513012
1477468902,372,2,2,0.6666943715216611
1478146185,224,1,2,0.6773085156779383
1481712217,223,1,2,0.6349263705845017
1476073266,224,1,2,0.8973938508111291
1477286055,225,1,2,0.6999966099616926
1477630163,226,1,2,0.5000056500638457
1478230232,226,1,2,0.6999966099616926
1478589744,223,1,2,0.9701026660599439
1478961320,223,1,2,0.895631831076508
1479193099,225,1,2,0.6999966099616926
1479456856,226,1,2,0.6999966099616926
1481282367,225,1,2,0.5000056500638457
1481547764,225,1,2,0.5000056500638457
1482138178,226,1,2,0.9944947377905371
1483335779,225,1,2,0.5000056500638457
1484005606,225,1,2,0.6999966099616926
1484228802,224,1,2,0.8960878361837653
